iter	RMSE
0	6.846743775
1	6.722846854
2	6.590576792
3	6.451441548
4	6.340973207
5	6.229948777
6	6.133488566
7	6.036387452
8	5.927603842
9	5.836885016
10	5.729282875
11	5.613111311
12	5.527249682
13	5.444509743
14	5.348174757
15	5.254985861
16	5.178139014
17	5.09495557
18	4.995332499
19	4.938213014
20	4.849332554
21	4.785318201
22	4.709585556
23	4.653978503
24	4.601243534
25	4.545775396
26	4.472891405
27	4.411266
28	4.332867598
29	4.279225339
30	4.230091512
31	4.168148494
32	4.106539656
33	4.054620564
34	4.001378091
35	3.966542563
36	3.908922534
37	3.855597875
38	3.805182503
39	3.762349827
40	3.718426712
41	3.668933578
42	3.623321661
43	3.581259348
44	3.544554964
45	3.504987155
46	3.464140855
47	3.41739959
48	3.376093216
49	3.33522593
50	3.298039243
51	3.266163497
52	3.23088693
53	3.200211292
54	3.170412625
55	3.143768424
56	3.112591849
57	3.086106815
58	3.062900972
59	3.044223404
60	3.020195648
61	2.99609303
62	2.967567582
63	2.942137488
64	2.92170695
65	2.90409105
66	2.888475427
67	2.872041855
68	2.856896341
69	2.844330987
70	2.824912587
71	2.801445222
72	2.788714039
73	2.75894236
74	2.744638114
75	2.732111252
76	2.723684741
77	2.702046404
78	2.676702226
79	2.656216958
80	2.641764743
81	2.620031029
82	2.607941343
83	2.590554773
84	2.574440217
85	2.562745218
86	2.556022918
87	2.545370162
88	2.531861001
89	2.518829526
90	2.503106981
91	2.493342788
92	2.483432972
93	2.471006393
94	2.461379407
95	2.451956508
96	2.443171354
97	2.43370831
98	2.424958543
99	2.40619097
100	2.394599422
101	2.379001911
102	2.374774907
103	2.365301952
104	2.359984352
105	2.347534996
106	2.339611907
107	2.330213749
108	2.317653425
109	2.31613912
110	2.309613816
111	2.303406099
112	2.294161506
113	2.287833381
114	2.281531373
115	2.267296319
116	2.258958682
117	2.253129358
118	2.245961312
119	2.234774408
120	2.228622719
121	2.22029522
122	2.213596254
123	2.203635502
124	2.198111258
125	2.184844783
126	2.178488069
127	2.169423865
128	2.16643002
129	2.15535791
130	2.149397761
131	2.142782073
132	2.136240726
133	2.125170137
134	2.117260219
135	2.111581324
136	2.10760996
137	2.102415309
138	2.098514096
139	2.08707052
140	2.080426299
141	2.073920706
142	2.062350693
143	2.058525119
144	2.048403248
145	2.04066514
146	2.036801797
147	2.034029223
148	2.026085297
149	2.018865228
150	2.014947625
151	2.012260162
152	2.00668524
153	2.001479108
154	1.994157769
155	1.986283016
156	1.9823131
157	1.977964593
158	1.972552829
159	1.964249597
160	1.961250319
161	1.957616648
162	1.953791201
163	1.95091607
164	1.94581253
165	1.93923857
166	1.934728798
167	1.929406226
168	1.922321794
169	1.918118417
170	1.913405191
171	1.909709752
172	1.904786756
173	1.899009414
174	1.895322227
175	1.893084847
176	1.890480308
177	1.884996284
178	1.882177909
179	1.87575299
180	1.868112375
181	1.864482625
182	1.861094935
183	1.857052562
184	1.852254815
185	1.849007752
186	1.843822078
187	1.840723792
188	1.83792044
189	1.834392366
190	1.829907415
191	1.827249408
192	1.822340664
193	1.818727112
194	1.814482161
195	1.811902214
196	1.807696691
197	1.801617173
198	1.798735827
199	1.795823054
200	1.790047322
201	1.784024942
202	1.780145448
203	1.774991452
204	1.771699431
205	1.768262873
206	1.765734342
207	1.761765851
208	1.757969688
209	1.754711897
210	1.751812572
211	1.747544341
212	1.743159823
213	1.73978576
214	1.735894728
215	1.734446131
216	1.730677281
217	1.726787797
218	1.722973913
219	1.720502363
220	1.717767079
221	1.715597226
222	1.713515453
223	1.707820259
224	1.704496491
225	1.699761098
226	1.695668821
227	1.693193059
228	1.691239487
229	1.689898065
230	1.688066972
231	1.684524165
232	1.680193056
233	1.677036048
234	1.674780924
235	1.670074986
236	1.668430173
237	1.667266361
238	1.66481574
239	1.660395343
240	1.658280095
241	1.656356879
242	1.65472774
243	1.651239865
244	1.649552384
245	1.647046415
246	1.644126512
247	1.642668766
248	1.641598502
249	1.63834359
250	1.636188096
251	1.632241512
252	1.630146344
253	1.627587204
254	1.623515599
255	1.620957596
256	1.618477758
257	1.614744804
258	1.612269046
259	1.610148
260	1.607286209
261	1.603014281
262	1.601729098
263	1.600350477
264	1.595717351
265	1.593422791
266	1.590017576
267	1.587885713
268	1.586210867
269	1.584681533
270	1.582739367
271	1.578934512
272	1.576676109
273	1.574233045
274	1.572330684
275	1.569418673
276	1.567099311
277	1.565179372
278	1.563804586
279	1.560393368
280	1.557557017
281	1.554861554
282	1.551781011
283	1.550831657
284	1.549162074
285	1.547442676
286	1.545163089
287	1.542258818
288	1.53853919
289	1.536281189
290	1.533445626
291	1.532315176
292	1.530539507
293	1.527245374
294	1.525066301
295	1.523241701
296	1.519061978
297	1.517796996
298	1.516251836
299	1.514995353
300	1.512421402
301	1.510608473
302	1.509587781
303	1.508651704
304	1.506450263
305	1.504441237
306	1.503331298
307	1.502268539
308	1.498586055
309	1.497096216
310	1.494459778
311	1.493323632
312	1.490447316
313	1.488357665
314	1.486456407
315	1.483377292
316	1.482079096
317	1.480934918
318	1.479240315
319	1.477105058
320	1.474902693
321	1.472484995
322	1.469497484
323	1.468301846
324	1.467157889
325	1.465613449
326	1.464194615
327	1.462604457
328	1.459803901
329	1.457641815
330	1.453914513
331	1.451814609
332	1.450690418
333	1.449522893
334	1.448637701
335	1.445719651
336	1.444049946
337	1.441937183
338	1.44007551
339	1.439111316
340	1.437124597
341	1.435623925
342	1.433248966
343	1.430705962
344	1.428388131
345	1.427181455
346	1.424586978
347	1.42355265
348	1.422154434
349	1.418831547
350	1.415270015
351	1.414270419
352	1.410857889
353	1.409264384
354	1.407317895
355	1.40572275
356	1.403826828
357	1.401534043
358	1.39914679
359	1.398284251
360	1.397041704
361	1.394477363
362	1.391164753
363	1.389473326
364	1.388244007
365	1.385033313
366	1.383615893
367	1.381273245
368	1.380446779
369	1.378508102
370	1.37627288
371	1.374379871
372	1.372662018
373	1.371894966
374	1.369956636
375	1.368806878
376	1.367395409
377	1.366465828
378	1.365561362
379	1.363566833
380	1.361725438
381	1.360873274
382	1.359476348
383	1.357795177
384	1.356114625
385	1.355409174
386	1.354663203
387	1.353745683
388	1.351703305
389	1.349571738
390	1.348684637
391	1.347192759
392	1.34615558
393	1.344507206
394	1.343902876
395	1.342811777
396	1.342080506
397	1.340679956
398	1.339007991
399	1.33833653
400	1.336755118
401	1.334734377
402	1.333072157
403	1.331966461
404	1.329439053
405	1.328049899
406	1.326454872
407	1.323638507
408	1.321761031
409	1.321247949
410	1.318642584
411	1.317228527
412	1.316225012
413	1.314043331
414	1.311437622
415	1.31028756
416	1.307960135
417	1.307150916
418	1.306121054
419	1.304670137
420	1.302088949
421	1.300860089
422	1.299591484
423	1.297149053
